18/01- G,18/01/2021,G
29/01- G,29/01/2021,G
03/02- CDST,03/02/2021,CD
10/02- PG,10/02/2021,PG
19/02 - CDST,19/02/2021,CD
24/02- PI,24/02/2021,PI
03/03 - PG,03/03/2021,PG
05/03 - CDST,05/03/2021,CD
10/03 - IA,10/03/2021,IA
13/03 - PI,13/03/2021,PI
17/03 - CDST,17/03/2021,CD
19/03 - IA,19/03/2021,IA
23/03 - PG,23/03/2021,PG
25/03 - PI,25/03/2021,PI
30/03 - CDST,30/03/2021,CD
01/04 - PG,01/04/2021,PG
08/04 - CDST,08/04/2021,CD
14/04 - PI,14/04/2021,PI
20/04 - PG,20/04/2021,PG
22/04 - PI,22/04/2021,PI
27/04 - CDST,27/04/2021,CD
29/04 - PG,29/04/2021,PG
03/05 - PAL,03/05/2021,PAL
10/05 - PAL,10/05/2021,PAL
17/05 - PAL,17/05/2021,PAL
24/05 - PAL,24/05/2021,PAL
07/06 - PAL,07/06/2021,PAL
28/06 - PAL,28/06/2021,PAL
30/06 - PI,30/06/2021,PI
05/07 - PAL,05/07/2021,PAL
07/07 - CD,07/07/2021,CD
12/07 - PAL,12/07/2021,PAL
14/07 - CD,14/07/2021,CD
19/07 - PAL,19/07/2021,PAL
21/07 - PG,21/07/2021,PG
26/07 - PAL,26/07/2021,PAL
28/07 - PI,28/07/2021,PI
02/08 - PAL,02/08/2021,PAL
04/08 - IA,04/08/2021,IA
09/08 - PAL,09/08/2021,PAL
11/08 - CD,11/08/2021,CD
16/08 - PAL,16/08/2021,PAL
18/08 - PG,18/08/2021,PG
23/08 - PAL,23/08/2021,PAL
25/08 - PI,25/08/2021,PI
30/08 - PAL,30/08/2021,PAL
01/09 - IA,01/09/2021,IA
06/09 - PAL,06/09/2021,PAL
08/09 - OFICINA,08/09/2021,OFICINA
13/09 - PAL,13/09/2021,PAL
20/09 - PAL,20/09/2021,PAL
29/09 - PAL,29/09/2021,PAL
18/10 - PI,18/10/2021,PI
20/10 - PI,20/10/2021,PI
27/10 - CD,27/10/2021,CD
