14/06 - PA,14/06/2021,PA
16/06 - IA,16/06/2021,IA
23/06 - PR,23/06/2021,PR
28/06 - PAL,28/06/2021,PAL
30/06 - CD,30/06/2021,CD
05/07 - PAL,05/07/2021,PAL
07/07 - PI,07/07/2021,PI
12/07 - PAL,12/07/2021,PAL
14/07 - PG,14/07/2021,PG
19/07 - PAL,19/07/2021,PAL
21/07 - CD,21/07/2021,CD
26/07 - PAL,26/07/2021,PAL
28/07 - IA,28/07/2021,IA
02/08 - PAL,02/08/2021,PAL
04/08 - PI,04/08/2021,PI
09/08 - PAL,09/08/2021,PAL
11/08 - PG,11/08/2021,PG
16/08 - PAL,16/08/2021,PAL
18/08 - CD,18/08/2021,CD
23/08 - PAL,23/08/2021,PAL
25/08 - IA,25/08/2021,IA
30/08 - PAL,30/08/2021,PAL
01/09 - PI,01/09/2021,PI
06/09 - PAL,06/09/2021,PAL
08/09 - OFICINA,08/09/2021,OFICINA
13/09 - PAL,13/09/2021,PAL
20/09 - PAL,20/09/2021,PAL
27/09 - PAL,27/09/2021,PAL
18/10 - PI,18/10/2021,PI
20/10 - PI,20/10/2021,PI
27/10 - PG,27/10/2021,PG
27/10 - CD,27/10/2021,CD
